Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
8	3253	7118	0.0355873	0.0082004	11	10371	919	1381	436	264.654	105.672	0.255437	245.118	42	987	394	0
9	18788	1975	0.0424254	0.0323551	943	20763	64	257	486	62.9604	73.2214	0.0617938	72.6387	285	56	201	0
10	8290	1161	0.0256983	0.0205978	746	9451	24	208	794	51.5836	89.2964	0.147294	83.0765	627	41	167	0
11	995316	270615	0.0323143	0.0490339	534	1265931	305	27	31	6.48019	6.02662	0.0225154	6.3958	7	3	24	0
12	4937	3179	0.018355	0.0281713	92	8116	656	1167	738	208.597	170.866	0.0628797	202.228	158	587	580	0
13	22285	105098	0.0297082	0.00587459	81	127383	412	144	111	33.5024	27.5275	0.0489072	32.0525	21	54	90	0
14	3970229	8101	0.0430918	0.0320304	25	3978330	871	6	4	1.49179	1.92438	0.127886	1.96327	0	2	4	0
15	23103	22898	0.0409219	0.00962556	196	46001	1448	1136	997	258.411	243.533	0.0280566	258.157	127	266	870	0
16	9906	64413	0.0321615	0.00565651	38	74319	441	269	184	62.0493	46.5693	0.169189	65.1484	27	112	157	0
17	38385	11250	0.0360851	0.0297127	78	49635	85	127	120	29.97	30.3394	0.0702044	32.434	27	34	93	0
18	20591	1049	0.0123858	0.010395	10	21640	10	29	36	7.51111	6.19843	0.741183	26.2609	30	23	6	8
19	826808	102179	0.0102801	0.0160727	20	928987	1545	12	1	0.76715	0.0677556	0.0180677	0.422789	0	11	1	0
20	16640	2389	0.0128996	0.0266578	27	19029	12	66	107	16.7459	27.1089	0.420846	38.3276	56	15	51	0
21	13462	142480	0.0232223	0.0386423	343	155942	10	22	59	3.93237	9.03993	0.245452	8.7054	39	2	20	0
